run	head	dataset	class	image	method	correct	frac	area	conc	peak	pos_share	in_mean	out_mean	conc_pos	conc_neg
A1_convnext_tiny_120ep	protopnet	data	Capillaria philippinensis	Capillaria philippinensis_0984.jpg	gradcam	1	0.0012	0.0028	0.4320	0	0.2898	-0.0117228	-0.0114057	0.0000	0.6083
A1_convnext_tiny_120ep	protopnet	data	Capillaria philippinensis	Capillaria philippinensis_0984.jpg	hirescam	1	0.0000	0.0028	0.0000	0	1.0000	0	0.0646743	0.0000	nan
A1_convnext_tiny_120ep	protopnet	data	Capillaria philippinensis	Capillaria philippinensis_0984.jpg	integrated_gradients	1	0.0022	0.0028	0.7624	0	1.0000	2.4952e-06	3.27499e-06	0.7624	nan
A1_convnext_tiny_120ep	protopnet	data	Capillaria philippinensis	Capillaria philippinensis_0984.jpg	lime	1	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Capillaria philippinensis	Capillaria philippinensis_0984.jpg	kernelshap	1	0.0008	0.0028	0.2730	0	1.0000	0.00107761	0.00395566	0.2730	nan
A1_convnext_tiny_120ep	protopnet	data	Capillaria philippinensis	Capillaria philippinensis_0071.jpg	ours:protopnet	1	0.0026	0.0029	0.9178	0	1.0000	0.279125	0.304213	0.9178	nan
A1_convnext_tiny_120ep	protopnet	data	Capillaria philippinensis	Capillaria philippinensis_0071.jpg	gradcam	1	0.0005	0.0029	0.1643	0	0.2944	-0.00442772	-0.0111014	0.0000	0.2328
A1_convnext_tiny_120ep	protopnet	data	Capillaria philippinensis	Capillaria philippinensis_0071.jpg	hirescam	1	0.0000	0.0029	0.0000	0	1.0000	0	0.0669802	0.0000	nan
A1_convnext_tiny_120ep	protopnet	data	Capillaria philippinensis	Capillaria philippinensis_0071.jpg	integrated_gradients	1	0.0009	0.0029	0.3228	0	1.0000	7.95007e-07	2.4673e-06	0.3228	nan
A1_convnext_tiny_120ep	protopnet	data	Capillaria philippinensis	Capillaria philippinensis_0071.jpg	lime	1	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Capillaria philippinensis	Capillaria philippinensis_0071.jpg	kernelshap	1	0.0054	0.0029	1.8690	0	1.0000	0.00774413	0.00413306	1.8690	nan
A1_convnext_tiny_120ep	protopnet	data	Capillaria philippinensis	Capillaria philippinensis_0668.jpg	ours:protopnet	1	0.0047	0.0056	0.8342	0	1.0000	0.253308	0.303929	0.8342	nan
A1_convnext_tiny_120ep	protopnet	data	Capillaria philippinensis	Capillaria philippinensis_0668.jpg	gradcam	1	0.0026	0.0056	0.4698	0	0.2965	-0.0124994	-0.0108202	0.0000	0.6678
A1_convnext_tiny_120ep	protopnet	data	Capillaria philippinensis	Capillaria philippinensis_0668.jpg	hirescam	1	0.0000	0.0056	0.0000	0	1.0000	0	0.0679026	0.0000	nan
A1_convnext_tiny_120ep	protopnet	data	Capillaria philippinensis	Capillaria philippinensis_0668.jpg	integrated_gradients	1	0.0041	0.0056	0.7382	0	1.0000	1.3541e-06	1.83701e-06	0.7382	nan
A1_convnext_tiny_120ep	protopnet	data	Capillaria philippinensis	Capillaria philippinensis_0668.jpg	lime	1	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Capillaria philippinensis	Capillaria philippinensis_0668.jpg	kernelshap	1	0.0062	0.0056	1.1036	0	1.0000	0.00319875	0.00289679	1.1036	nan
A1_convnext_tiny_120ep	protopnet	data	Capillaria philippinensis	Capillaria philippinensis_0654.jpg	ours:protopnet	1	0.0066	0.0083	0.7869	0	1.0000	0.239978	0.305502	0.7869	nan
A1_convnext_tiny_120ep	protopnet	data	Capillaria philippinensis	Capillaria philippinensis_0654.jpg	gradcam	1	0.0022	0.0083	0.2645	0	0.2947	-0.00240549	-0.011258	0.2990	0.2501
A1_convnext_tiny_120ep	protopnet	data	Capillaria philippinensis	Capillaria philippinensis_0654.jpg	hirescam	1	0.0000	0.0083	0.0000	0	1.0000	0	0.0672978	0.0000	nan
A1_convnext_tiny_120ep	protopnet	data	Capillaria philippinensis	Capillaria philippinensis_0654.jpg	integrated_gradients	1	0.0040	0.0083	0.4795	0	1.0000	1.60728e-06	3.36649e-06	0.4795	nan
A1_convnext_tiny_120ep	protopnet	data	Capillaria philippinensis	Capillaria philippinensis_0654.jpg	lime	1	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Capillaria philippinensis	Capillaria philippinensis_0654.jpg	kernelshap	1	0.0051	0.0083	0.6168	0	1.0000	0.00308313	0.00501432	0.6168	nan
A1_convnext_tiny_120ep	protopnet	data	Capillaria philippinensis	Capillaria philippinensis_0437.jpg	ours:protopnet	1	0.0154	0.0204	0.7539	0	1.0000	0.22905	0.305385	0.7539	nan
A1_convnext_tiny_120ep	protopnet	data	Capillaria philippinensis	Capillaria philippinensis_0437.jpg	gradcam	1	0.0026	0.0204	0.1286	0	0.2948	0.00330301	-0.0112603	0.4279	0.0035
A1_convnext_tiny_120ep	protopnet	data	Capillaria philippinensis	Capillaria philippinensis_0437.jpg	hirescam	1	0.0000	0.0204	0.0000	0	1.0000	0	0.06833	0.0000	nan
A1_convnext_tiny_120ep	protopnet	data	Capillaria philippinensis	Capillaria philippinensis_0437.jpg	integrated_gradients	1	0.0221	0.0204	1.0853	0	1.0000	1.31072e-06	1.20552e-06	1.0853	nan
A1_convnext_tiny_120ep	protopnet	data	Capillaria philippinensis	Capillaria philippinensis_0437.jpg	lime	1	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Capillaria philippinensis	Capillaria philippinensis_0437.jpg	kernelshap	1	0.0245	0.0204	1.2018	0	1.0000	0.00309809	0.00256701	1.2018	nan
A1_convnext_tiny_120ep	protopnet	data	Enterobius vermicularis	Enterobius vermicularis_0109.jpg	ours:protopnet	0	0.0266	0.0311	0.8551	0	1.0000	0.224432	0.263696	0.8551	nan
A1_convnext_tiny_120ep	protopnet	data	Enterobius vermicularis	Enterobius vermicularis_0109.jpg	gradcam	0	0.0165	0.0311	0.5307	0	0.5432	0.000290324	0.000677067	0.5232	0.5396
A1_convnext_tiny_120ep	protopnet	data	Enterobius vermicularis	Enterobius vermicularis_0109.jpg	hirescam	0	0.0000	0.0311	0.0000	0	1.0000	0	0.00042924	0.0000	nan
A1_convnext_tiny_120ep	protopnet	data	Enterobius vermicularis	Enterobius vermicularis_0109.jpg	integrated_gradients	0	0.0290	0.0311	0.9343	0	1.0000	4.6386e-07	4.97517e-07	0.9343	nan
A1_convnext_tiny_120ep	protopnet	data	Enterobius vermicularis	Enterobius vermicularis_0109.jpg	lime	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Enterobius vermicularis	Enterobius vermicularis_0109.jpg	kernelshap	0	0.0287	0.0311	0.9219	0	1.0000	0.00017606	0.000191451	0.9219	nan
A1_convnext_tiny_120ep	protopnet	data	Enterobius vermicularis	Enterobius vermicularis_0210.jpg	ours:protopnet	0	0.0270	0.0309	0.8740	0	1.0000	0.229295	0.263409	0.8740	nan
A1_convnext_tiny_120ep	protopnet	data	Enterobius vermicularis	Enterobius vermicularis_0210.jpg	gradcam	0	0.0139	0.0309	0.4509	0	0.5424	0.00241747	0.000588791	0.7084	0.1458
A1_convnext_tiny_120ep	protopnet	data	Enterobius vermicularis	Enterobius vermicularis_0210.jpg	hirescam	0	0.0000	0.0309	0.0000	0	1.0000	0	0.000427264	0.0000	nan
A1_convnext_tiny_120ep	protopnet	data	Enterobius vermicularis	Enterobius vermicularis_0210.jpg	integrated_gradients	0	0.0340	0.0309	1.1036	0	1.0000	9.53697e-07	8.6135e-07	1.1036	nan
A1_convnext_tiny_120ep	protopnet	data	Enterobius vermicularis	Enterobius vermicularis_0210.jpg	lime	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Enterobius vermicularis	Enterobius vermicularis_0210.jpg	kernelshap	0	0.0301	0.0309	0.9761	0	1.0000	0.000403869	0.000414084	0.9761	nan
A1_convnext_tiny_120ep	protopnet	data	Enterobius vermicularis	Enterobius vermicularis_0018.jpg	ours:protopnet	0	0.0252	0.0340	0.7425	0	1.0000	0.194756	0.264661	0.7425	nan
A1_convnext_tiny_120ep	protopnet	data	Enterobius vermicularis	Enterobius vermicularis_0018.jpg	gradcam	0	0.0402	0.0340	1.1834	0	0.5419	0.00899912	0.000343209	2.1838	0.0000
A1_convnext_tiny_120ep	protopnet	data	Enterobius vermicularis	Enterobius vermicularis_0018.jpg	hirescam	0	0.0000	0.0340	0.0000	0	1.0000	0	0.000430935	0.0000	nan
A1_convnext_tiny_120ep	protopnet	data	Enterobius vermicularis	Enterobius vermicularis_0018.jpg	integrated_gradients	0	0.0566	0.0340	1.6668	0	1.0000	1.73043e-06	1.01384e-06	1.6668	nan
A1_convnext_tiny_120ep	protopnet	data	Enterobius vermicularis	Enterobius vermicularis_0018.jpg	lime	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Enterobius vermicularis	Enterobius vermicularis_0018.jpg	kernelshap	0	0.0440	0.0340	1.2962	0	1.0000	0.000670888	0.000512207	1.2962	nan
A1_convnext_tiny_120ep	protopnet	data	Enterobius vermicularis	Enterobius vermicularis_0175.jpg	ours:protopnet	0	0.0320	0.0376	0.8506	0	1.0000	0.223166	0.26388	0.8506	nan
A1_convnext_tiny_120ep	protopnet	data	Enterobius vermicularis	Enterobius vermicularis_0175.jpg	gradcam	0	0.0175	0.0376	0.4661	0	0.5428	0.00356436	0.000540359	0.8587	0.0000
A1_convnext_tiny_120ep	protopnet	data	Enterobius vermicularis	Enterobius vermicularis_0175.jpg	hirescam	0	0.0000	0.0376	0.0000	0	1.0000	0	0.00044069	0.0000	nan
A1_convnext_tiny_120ep	protopnet	data	Enterobius vermicularis	Enterobius vermicularis_0175.jpg	integrated_gradients	0	0.0182	0.0376	0.4847	0	1.0000	4.62648e-07	9.73812e-07	0.4847	nan
A1_convnext_tiny_120ep	protopnet	data	Enterobius vermicularis	Enterobius vermicularis_0175.jpg	lime	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Enterobius vermicularis	Enterobius vermicularis_0175.jpg	kernelshap	0	0.0193	0.0376	0.5140	0	1.0000	0.000202585	0.000401584	0.5140	nan
A1_convnext_tiny_120ep	protopnet	data	Enterobius vermicularis	Enterobius vermicularis_0362.jpg	ours:protopnet	0	0.0050	0.0068	0.7395	0	1.0000	0.19412	0.262977	0.7395	nan
A1_convnext_tiny_120ep	protopnet	data	Enterobius vermicularis	Enterobius vermicularis_0362.jpg	gradcam	0	0.0077	0.0068	1.1322	0	0.5447	0.00872269	0.000633694	2.0787	0.0000
A1_convnext_tiny_120ep	protopnet	data	Enterobius vermicularis	Enterobius vermicularis_0362.jpg	hirescam	0	0.0000	0.0068	0.0000	0	1.0000	0	0.000383864	0.0000	nan
A1_convnext_tiny_120ep	protopnet	data	Enterobius vermicularis	Enterobius vermicularis_0362.jpg	integrated_gradients	0	0.0060	0.0068	0.8888	0	1.0000	4.26327e-07	4.80018e-07	0.8888	nan
A1_convnext_tiny_120ep	protopnet	data	Enterobius vermicularis	Enterobius vermicularis_0362.jpg	lime	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Enterobius vermicularis	Enterobius vermicularis_0362.jpg	kernelshap	0	0.0031	0.0068	0.4505	0	1.0000	0.000123714	0.000275641	0.4505	nan
A1_convnext_tiny_120ep	protopnet	data	Fasciolopsis buski	Fasciolopsis buski_0333.jpg	ours:protopnet	0	0.0526	0.0648	0.8121	0	1.0000	0.225073	0.280758	0.8121	nan
A1_convnext_tiny_120ep	protopnet	data	Fasciolopsis buski	Fasciolopsis buski_0333.jpg	gradcam	0	0.0825	0.0648	1.2734	0	0.6468	-0.0222716	0.00703394	0.0000	3.6055
A1_convnext_tiny_120ep	protopnet	data	Fasciolopsis buski	Fasciolopsis buski_0333.jpg	hirescam	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Fasciolopsis buski	Fasciolopsis buski_0333.jpg	integrated_gradients	0	0.0113	0.0648	0.1740	0	1.0000	6.54508e-08	3.97585e-07	0.1740	nan
A1_convnext_tiny_120ep	protopnet	data	Fasciolopsis buski	Fasciolopsis buski_0333.jpg	lime	0	nan	nan	nan	nan	nan	nan	nan	nan	nan
A1_convnext_tiny_120ep	protopnet	data	Fasciolopsis buski	Fasciolopsis buski_0333.jpg	kernelshap	0	0.0625	0.0648	0.9648	0	1.0000	0.000753628	0.000783069	0.9648	nan
A1_convnext_tiny_120ep	protopnet	data	Fasciolopsis buski	Fasciolopsis buski_0636.jpg	ours:protopnet	0	0.1459	0.1553	0.9395	0	1.0000	0.260184	0.280025	0.9395	nan
A1_convnext_tiny_120ep	protopnet	data	Fasciolopsis buski	Fasciolopsis buski_0636.jpg	gradcam	0	0.1091	0.1553	0.7028	0	0.6358	-0.00973783	0.00729032	0.1049	1.7467
